question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.2774086|0.3106875419616699|0.33447728
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.31748432|0.3326657861471176|0.33781293
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.33466008|0.3436896577477455|0.35299206
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.34254003|0.34818974882364273|0.3545054
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.26727703|0.2793150767683983|0.289747
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.27076787|0.30066798627376556|0.3314103
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.29863092|0.3151894435286522|0.3324924
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.31508535|0.32319729030132294|0.32658213
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.31259453|0.31790512055158615|0.32253656
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.32967725|0.3442506566643715|0.3553495
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.31093985|0.3218100145459175|0.3321437
Как вставить тесты и практические задания в обучающий курс?|4|0.28812462|0.29708411544561386|0.3049188
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.27365297|0.3046305850148201|0.32107663
Менеджеры могут и писать курс и проходить его потом?|4|0.28908017|0.3035491704940796|0.30968395
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.32559478|0.34093838185071945|0.35639873
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.28513733|0.28976190090179443|0.29600894
новости в компании каждый сотрудник может публиковать?|4|0.29804343|0.3188118115067482|0.3278471
Здравствуйте есть api на бронирование?|4|0.29627705|0.34018126875162125|0.37213898
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.25967577|0.2722049131989479|0.27863273
Работает ли Платрум в Азербайджане?|4|0.34277683|0.3495289981365204|0.3597486
в БП есть опция отмены создания БП?|4|0.3491432|0.3687908425927162|0.3831567
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.35893178|0.37050390243530273|0.37611467
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.2832497|0.2853845879435539|0.29058173
Как создать виджет в дашбоорд?|4|0.26815253|0.2815926745533943|0.2983178
работает ли Platrum в Китае?|4|0.36306655|0.3701808899641037|0.3784029
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.3144108|0.3201594278216362|0.32745534
Где могу посмотреть удаленные статьи на платрум?|4|0.33209398|0.33847668766975403|0.34744808
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.2910626|0.3240423649549484|0.3395788
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.27204335|0.2906559631228447|0.3037858
мы можем перенести влю базу знаний на другой аккаунт?|4|0.30760682|0.32675301283597946|0.33384532
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.30174434|0.32130587100982666|0.33683887
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.275634|0.28935524821281433|0.29766834
орг структуру внутри статьи нарисовать можно?|4|0.31067443|0.3418484330177307|0.35366336
как сохранить работу над ошибками?|4|0.34654686|0.35342006385326385|0.35837555
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.3018123|0.3056599423289299|0.3091162
почему я не вижу доступных курсов в разделе Академия?|4|0.25261426|0.26509178429841995|0.28582782
можно ли секции в оргсхеме менять местами?|4|0.3457856|0.3572029396891594|0.36418384
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.2890342|0.2953527197241783|0.30129367
может ли один курс быть в разных программах?|4|0.337672|0.3476932570338249|0.36032963
шаблон на 7 управленний доступен только после оплаты?|4|0.3188883|0.3262481093406677|0.33375794
Забыл пароль. Как восстановить?|4|1.8938662|1.8958559930324554|1.8970318
Как передать метрики?|4|0.26814216|0.27347948402166367|0.2764951
Как добавить сотрудника?|4|0.25550032|0.26351285725831985|0.27139074
Как выдать доступы сотруднику?|4|0.27010205|0.2861598804593086|0.304627
Ваша учетная запись отключена - почему и что делать?|4|0.33110994|0.3422050401568413|0.3520187
Как распечатать структуру?|4|0.20543438|0.28719405084848404|0.3313151
Пропали метрики после смены структуры, как вернуть?|4|0.32112634|0.342098131775856|0.35759276
Как заполнить метрики за предыдущие периоды?|4|0.24822111|0.2681642137467861|0.28333613
Как восстановить пароль?|4|0.25172573|0.2757626622915268|0.28983226
Как восстановить удаленную статью?|4|0.34042484|0.35020218789577484|0.35736293
Как добавить на должность сотрудника?|4|0.2472963|0.2581530064344406|0.26697958
