question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.32454813|0.34178730845451355|0.349559
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.3589698|0.36620302498340607|0.37490278
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.34820375|0.35743051022291183|0.3618575
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.3447864|0.3617487922310829|0.37253547
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.2770247|0.2925179451704025|0.30842558
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.31179285|0.3343447297811508|0.356951
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.32422236|0.33763470500707626|0.3449363
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.32991505|0.33443132042884827|0.33823824
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.3236134|0.33014392107725143|0.33409268
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.33470407|0.3624725788831711|0.38034624
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.31852645|0.33216211199760437|0.33967417
Как вставить тесты и практические задания в обучающий курс?|4|0.28655177|0.29296962171792984|0.29661295
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.32614103|0.33801765739917755|0.34458363
Менеджеры могут и писать курс и проходить его потом?|4|0.29650155|0.30372006446123123|0.30845034
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.32567722|0.357084684073925|0.37162644
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.283299|0.30578505992889404|0.3171233
новости в компании каждый сотрудник может публиковать?|4|0.32902488|0.3526439890265465|0.36194938
Здравствуйте есть api на бронирование?|4|0.32486793|0.36231570690870285|0.38758573
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.24456671|0.27178937941789627|0.29340404
Работает ли Платрум в Азербайджане?|4|0.35961914|0.36683230102062225|0.37254554
в БП есть опция отмены создания БП?|4|0.37543777|0.3845065236091614|0.4015039
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.36902902|0.3762990012764931|0.3801381
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.28850085|0.29930581897497177|0.3047812
Как создать виджет в дашбоорд?|4|0.24191901|0.2773396372795105|0.3029618
работает ли Platrum в Китае?|4|0.38547808|0.3952125757932663|0.40445554
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.29178977|0.3193044513463974|0.33638537
Где могу посмотреть удаленные статьи на платрум?|4|0.36031944|0.3681935593485832|0.3789625
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.33780771|0.3446635454893112|0.34934056
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.29998818|0.31713635474443436|0.32644734
мы можем перенести влю базу знаний на другой аккаунт?|4|0.29829374|0.33446788042783737|0.35033715
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.3236783|0.33601509779691696|0.35035068
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.3161579|0.326686255633831|0.33171582
орг структуру внутри статьи нарисовать можно?|4|0.32614556|0.3383156433701515|0.3488487
как сохранить работу над ошибками?|4|0.35884845|0.37096066772937775|0.3779267
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.31457025|0.32227273285388947|0.32656777
почему я не вижу доступных курсов в разделе Академия?|4|0.26636088|0.2918325364589691|0.3264879
можно ли секции в оргсхеме менять местами?|4|0.34495926|0.36687494814395905|0.37714472
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.30275124|0.31498249620199203|0.32791418
может ли один курс быть в разных программах?|4|0.3461497|0.3495190963149071|0.35381508
шаблон на 7 управленний доступен только после оплаты?|4|0.33261964|0.34234117716550827|0.3477112
Забыл пароль. Как восстановить?|4|0.31042543|0.3240772783756256|0.34107196
Как передать метрики?|4|0.25738257|0.2842184156179428|0.30097806
Как добавить сотрудника?|4|0.26487088|0.2921534776687622|0.30734223
Как выдать доступы сотруднику?|4|0.30260944|0.31415098160505295|0.31983694
Ваша учетная запись отключена - почему и что делать?|4|0.36131337|0.3676592484116554|0.37121046
Как распечатать структуру?|4|0.26482108|0.2969858646392822|0.35562986
Пропали метрики после смены структуры, как вернуть?|4|0.34434474|0.35590995103120804|0.37352794
Как заполнить метрики за предыдущие периоды?|4|0.2671448|0.29447604715824127|0.3105904
Как восстановить пароль?|4|0.29969302|0.3086836636066437|0.32276982
Как восстановить удаленную статью?|4|0.33432573|0.3536994308233261|0.3670507
Как добавить на должность сотрудника?|4|0.22452539|0.25843534618616104|0.281991
