question|document_page_content|similarity_score
Здравствуйте. Как пройти обучающие видео по программе?|['Посмотрите небольшое видео или нажмите “Далее”.', 'На втором экране можно записаться на внедрение Platrum, пройти курс обучения пользованию системой.', 'Если вас это не интересует, нажмите кнопку “Пропустить, я опытный пользователь”.']|0.2774086
Здравствуйте. Как пройти обучающие видео по программе?|['Он не видит, кому еще назначен этот курс, кто является тренером.', 'Владелец проекта по умолчанию имеет доступ ко всем действиям в академии.', 'Он же назначает Администратора и Создателя курсов в настройках доступов:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641771/original/vcDHu7uj_2Sb1ZoWKHLAWV8T_f1wkjVNSQ.png?1646058042\n\n### С чего начать настройку\nДля начала стоит помнить, что Академия работает в тесной связке с Базой знаний, и первые действия начинаются именно с неё:\nhttps://www.youtube.com/embed/esLVA9YBT04\n\n#### Шаг 1.']|0.3143612
Здравствуйте. Как пройти обучающие видео по программе?|"['Настраиваем академию ""под себя""\n\n### Для чего вам нужна Академия\nВ небольшом видео ниже приведен пример работы инструмента и описаны основные достоинства:\nhttps://www.youtube.com/embed/4WyDAauWzMc\n\n### Кому доступна Академия\nВ академии есть несколько ролей, которые обеспечивают разный уровень доступа сотрудника к инструменту:\n- Администратор академии -\xa0сотрудник с этим уровнем доступа может создавать/редактировать/удалять курсы, назначать участников, проверять и сбрасывать прогресс, назначать тренеров.', 'У него нет ограничений в работе с Академией.', '- Создатель курсов -\xa0сотрудник с таким доступом может создавать курсы, назначать участников, тренеров, проверять результаты участников.']"|0.31650308
Здравствуйте. Как пройти обучающие видео по программе?|['Сотрудник заполняет ответы и нажимает по кнопке продолжить, после чего курс переходит в состояние ожидания проверки от тренера.', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642109/original/Fm-IavmN1RzDHutYcjiQEeDIW_hQKIZIiw.png?1646058289\nПосле проверки тренером экзамен либо становится пройденным либо требует пересдачи.', 'Когда слушатель зайдет в курс с экзаменом требующим пересдачи, то он увидит в каких вопросах ошибся и сможет прочитать комментарии тренера.']|0.33447728
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['А если ответственный за выполнение показателя уволился, можно всегда передать его метрику приемнику.', 'Обо всех этих действия пошагово\nразберем в инструкции (https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525754)\n.', '### Шаг 2.']|0.31748432
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['Но в дашбордах есть возможность на один виджет вывести графики метрик из разных должностей.', 'Вы в любой момент можете разделить двойную метрику обратно на две раздельные (все значения при этом будут сохранены).', 'Для этого просто нужно отключить переключатель Двойная метрика в настройках метрик.']|0.33761257
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['Обратите внимание: график для сотрудника вступает в силу с даты назначения.', 'То есть он не изменяет прошлые периоды в метриках, а начинает действовать только с момента назначения.']|0.33775333
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['Обратите внимание: график для сотрудника вступает в силу с даты назначения.', 'То есть он не изменяет прошлые периоды в метриках, а начинает действовать только с момента назначения.']|0.33781293
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['- Базовый - тариф для более крупной компании, которой необходимо без ограничений пользоваться всеми нашими инструментами.', '- Профи - тариф, который позволяет полностью кастомизировать нашу систему под ваш бренд с помощью Брендирования и так же не волноваться, что данные будут утеряны, в этом поможет бекап всех данных на почту.', 'Вы можете остановиться на том тарифе, который будет подходить именно вам.']|0.33466008
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003746045/original/Ynbb9uOz3dq599Kh71vYpqOYENn3nYRVhA.png?1646166520\n\n### Можно ли изменить тариф после оплаты лицензии?', 'Да, вы можете изменить тариф при наличии уже оплаченной лицензии.', 'Для этого\xa0напишите, пожалуйста, нам, мы обязательно поможем.']|0.3369251
