question|document_page_content|similarity_score
Здравствуйте. Как пройти обучающие видео по программе?|['Участник видит его во вкладке \xa0Активные курсы и может пройти.', 'Он не видит, кому еще назначен этот курс, кто является тренером.', 'Владелец проекта по умолчанию имеет доступ ко всем действиям в академии.', 'Он же назначает Администратора и Создателя курсов в настройках доступов:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003641771/original/vcDHu7uj_2Sb1ZoWKHLAWV8T_f1wkjVNSQ.png?1646058042\n\n### С чего начать настройку\nДля начала стоит помнить, что Академия работает в тесной связке с Базой знаний, и первые действия начинаются именно с неё:\nhttps://www.youtube.com/embed/esLVA9YBT04\n\n#### Шаг 1.', 'Добавляем тесты\nКурсы формируются из статей Базы знаний, а также созданных в них тестов.', 'После каждого материала в Базе знаний можно добавить проверочный вопрос.', 'Подробнее об этом шаге\nсказано в инструкции.']|0.32454813
Здравствуйте. Как пройти обучающие видео по программе?|['По каждому сотруднику в курсе отображается прогресс.', 'Добавить первых участников можно\nпо инструкции.', '(https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525542)\n\n#### Шаг 4.', 'Добавляем экзамен\nЭкзамены автоматически формируются из открытых вопросов, которые вы включили в курс. При этом по желанию вы можете любой вопрос теста назначить экзаменационным.', 'Экзамен становится доступен сотруднику на самом последнем шаге курса.', 'Подробнее о работе экзаменов и тренеров описано\nв статье.', '(https://platrum-techsupport.freshdesk.com/ru-RU/support/solutions/articles/73000525543)\n\n#### Шаг 5.']|0.34536988
Здравствуйте. Как пройти обучающие видео по программе?|['Информация о непройденных курсах, а также незавершенных обязательных курсах будет видна на рабочем столе сотрудника и его руководителя:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642049/original/KUQs8T-qmZaHusrYxdWONa-wQYapcDX1gA.png?1646058246']|0.34767222
Здравствуйте. Как пройти обучающие видео по программе?|['Исходя из статей в Базе знаний, вы можете создавать курсы для контроля знаний сотрудников - создавать тесты и экзамены внутри курса (На старте вам доступно до 5 курсов).', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73014614129/original/EAf8tsGAMjLp6JOo17SqQNAD4VB34BJMag.png?1656602701\n7.', 'Тут вы сможете отслеживать свои поступления/траты/перемещения средств внутри компании.', 'На старте вам доступно до 50 транзакций в месяц:\n- 20 транзакций дохода;\n- 20 транзакций расхода;\n- 10 транзакций перемещения.', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73014614127/original/tf7CTUiCPnaBY8_UNHqMRlrQacgsap_nQg.png?1656602701\n8.', 'Вы можете проверить, как удобно планировать свой бюджет в Platrum (На старте вам доступно до 20 заявок/месяц).', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73014614131/original/fHAs8lobn9ueFjol2GHf1FwGbvTHIlgDlw.png?1656602701\n9.']|0.349559
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|"['Теперь это не превратится в большую проблему, когда придется вручную восстанавливать данные.', 'Просто передайте в нашу поддержку отправленный вам на почту архив для восстановления всех утерянных данных.', 'Бекап отправляется 1 раз в 30 дней, он будет содержаться в архиве с файлом в формате JSON.', '##### Приоритетная поддержка\nТехническая поддержка есть на всех платных тарифах нашего сервиса.', 'Но здесь к вам будет прикреплен личный менеджер для быстрого и удобного именно вам решения возникших у вас проблем, вопросов, а так же выполнения доработок сервиса, которые вам будут удобны.', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73031444283/original/QCvqIniaMmnxaxoL5ET4b_5dmCsq0Ma1sw.png?1668415957\n\n### FAQ\nЗдесь собраны частые вопросы от клиентов и ответы на них:\n\n##### Имеется ли возможность приобрести тариф на 1 пользователя?', 'Нет, \xa0минимальное кол-во пользователей: 5, на тарифе ""Начальный"".']"|0.3589698
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['# С чего начать работу с метриками\n\n\n\n## Для чего нужны Метрики и Дашборды\nМетрики и Дашборды позволят контролировать выполнение показателей всеми сотрудниками компании от рядового до руководителя.', 'Заполняя свои статистики, каждый сотрудник чувствует личную ответственность за результат и успех компании.', 'Поэтому важно правильно назначить каждой должности свои метрики и отладить контроль за ключевыми показателями.', 'https://www.youtube.com/embed/uxvrr7N-oSs?list=PLW1EmxdCk9RLifE7Rz6ZvsasPB1QrtGA9\n\n### Шаг 1.', 'Создаем первую метрику и разбираемся с механикой\nДля начала работы с метриками ее нужно назначить для какой-либо из должностей.', 'После того, как метрика создана, ее можно заполнять, устанавливать квоты, смотреть средние значения за периоды.', 'А если ответственный за выполнение показателя уволился, можно всегда передать его метрику приемнику.']|0.36359125
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|"['Если вы хотите, чтобы при входе в Задачи у вас сразу открывался Календарь или любой другой инструмент задач, вы можете перейти в настройки проекта, открыть вкладку\n""\nПользовательские настройки\n"", в поле\n""\nСтартовая страница раздела"" выбрать нужный вам раздел задач.', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73024345701/original/xIRgO-xxP4g-cCBJhFl98jJ8fR1VYosS8w.png?1663256315']"|0.36734825
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|['Информация о непройденных курсах, а также незавершенных обязательных курсах будет видна на рабочем столе сотрудника и его руководителя:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73003642049/original/KUQs8T-qmZaHusrYxdWONa-wQYapcDX1gA.png?1646058246']|0.37490278
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|"['Теперь это не превратится в большую проблему, когда придется вручную восстанавливать данные.', 'Просто передайте в нашу поддержку отправленный вам на почту архив для восстановления всех утерянных данных.', 'Бекап отправляется 1 раз в 30 дней, он будет содержаться в архиве с файлом в формате JSON.', '##### Приоритетная поддержка\nТехническая поддержка есть на всех платных тарифах нашего сервиса.', 'Но здесь к вам будет прикреплен личный менеджер для быстрого и удобного именно вам решения возникших у вас проблем, вопросов, а так же выполнения доработок сервиса, которые вам будут удобны.', 'https://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73031444283/original/QCvqIniaMmnxaxoL5ET4b_5dmCsq0Ma1sw.png?1668415957\n\n### FAQ\nЗдесь собраны частые вопросы от клиентов и ответы на них:\n\n##### Имеется ли возможность приобрести тариф на 1 пользователя?', 'Нет, \xa0минимальное кол-во пользователей: 5, на тарифе ""Начальный"".']"|0.34820375
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['У вас есть бизнес-процесс по согласованию скидки для клиента.', 'Когда скидка будет согласована, вы можете отправить webhook, который придет бухгалтеру в виде письма на электронную почту о том, что нужно выставить клиенту счет со всеми деталями по нему.']|0.35925782
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|"['для одного сотрудника.', 'В эту стоимость входит 5 гб свободного пространства для загрузки файлов на каждого сотрудника.', 'Такого объема памяти должно быть достаточно для работы, но если вам необходим больший объем, то есть возможность докупить 100гб на проект за 2000 рублей в месяц.', 'Вы всегда можете подключить мессенджер по своему желанию к любому из тарифов, по умолчанию он не входит ни в один из них.', '## Установка\nПосле подключения мессенджера в ваш проект, в настройках проекта и в боковом меню слева появится раздел ""Корпоративный мессенджер"".', 'Перед началом использования вам нужно включить мессенджер в своем проекте.', 'Перейдите в настройки вашего проекта в Platrum, откройте ""Настройки"" в разделе ""Корпоративный мессенджер"".']"|0.36040297
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|['Для таких компаний мы разработали тариф, который позволяет кастомизировать нашу систему под ваш бренд, а так же не волноваться об утере данных при утере данных - все данные будут периодически сохраняться и присылаться вам на почту, чтобы в случае случайного удаления, вы смогли их восстановить.', 'Так же если вы волнуетесь о безопасности, вы можете ограничить доступ в ваш проект по IP.', 'Давайте рассмотри преимущества тарифа подробнее:\n\n##### Ограничение доступа по IP\nФункция, полезная тем компаниям, которые волнуются об безопасности своих данных.', 'С помощью нее вы можете сделать так, чтобы в проект могли зайти только из под конкретного IP (Например IP вашего офиса).', 'Таким образом сотрудники смогут работать с Platrum только из вашего офиса.', '##### Брендирование\nС помощью данного функционала вы сможете установить ваш проект на свой собственный домен, чтобы сотрудникам было проще взаимодействовать с сервисом, а так же кастомизировать его, сменив название компании и добавив свой логотип, которые будут отображаться в строке браузера:\nhttps://s3.amazonaws.com/cdn.freshdesk.com/data/helpdesk/attachments/production/73031444155/original/atJaLdT2raTVALN8-J1_iT0lhIaX_alZmQ.png?1668415869\n\n##### Периодический бекап данных с отправкой архива на почту\nДанный функционал создан для того, чтобы вы не волновались за утерю своих данных.', 'Например, какой-то сотрудник случайно или по злому умыслу удалил все данные с вашего проекта (Например, все статьи из Базы знаний, все курсы Академии или всех Сотрудников).']|0.3618575
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|['Это позволяет убедиться, что сотрудник точно знает ответы на все вопросы и хорошо ознакомлен с материалом, а не просто угадал ответ в первый раз.']|0.3447864
