question|total_answers|min_score|mean_score|max_score
Здравствуйте. Как пройти обучающие видео по программе?|4|0.26321483|0.287327341735363|0.3006763
добрый день, реально вернуть действия на 1 шаг назад? если случайно удалила статистику|4|0.30866358|0.33172622323036194|0.34875077
Подскажите мы запрашивали тариф для нашей организации менеджер пообещал вернуться с обратной связью|4|0.31096578|0.31783878058195114|0.32178313
Если мне необходима консультация, чтобы понять насколько ваш сервис подходит для нашей компании, что мне необходимо сделать?)|4|0.31821215|0.3259511664509773|0.33337712
Здравствуйте , задачи с гугл календаря попадают только в календарь,??|4|0.25184315|0.26066678762435913|0.26933032
Как мне изменить статус заявки из согласованной в оплаченную если вся сумма уже оплачена?|4|0.24777475|0.2648910805583|0.28775036
Подскажите пожалуйста, где можно отключить уведомления на почту..? кто-нибудь начинает добавлять задачи у меня завал на почте|4|0.28546685|0.3033725619316101|0.3160798
Просьба подсказать, как можно поменять почту у действующего сотрудника в Платрум, чтобы ему повторно не проходить курсы.|4|0.27382866|0.29520518332719803|0.31444034
Здравствуйте, как можно добавить видео с хостинга Vimeo в обучение?|4|0.29527527|0.311630979180336|0.32804844
Пишу правильный ответ на текст, пишет допустили ошибку|4|0.32252115|0.33919287472963333|0.35326016
есть ли возможность загрузить в Platrum опросник 360 для прохождения анонимного опроса всеми сотрудниками компании использующими в работе программу.|4|0.2837724|0.2959641218185425|0.30709434
Как вставить тесты и практические задания в обучающий курс?|4|0.25102502|0.25648630410432816|0.25981474
Подскажите, как пересдать экзамен, если есть неверные ответы?|4|0.2821028|0.3080703988671303|0.32296848
Менеджеры могут и писать курс и проходить его потом?|4|0.27724153|0.29378946125507355|0.30174643
Подскажите, пожалуйста, как перенести статью из папки в папку|4|0.30664217|0.3474898040294647|0.36305135
Подскажите, возможно ли в текстовом редакторе внутри базы знаний сделать картинку- полоску для разделения текста.|4|0.2609355|0.27591951936483383|0.29230973
новости в компании каждый сотрудник может публиковать?|4|0.28932637|0.3006180301308632|0.30548838
Здравствуйте есть api на бронирование?|4|0.26518792|0.3258901759982109|0.3665883
как добавить права сотруднику и какие чтоб он мог делать курсы и выставлять их|4|0.19527096|0.22815517708659172|0.2541818
Работает ли Платрум в Азербайджане?|4|0.33349758|0.34338129311800003|0.34937882
в БП есть опция отмены создания БП?|4|0.375264|0.3828135207295418|0.3867373
есть ли у БП параметр успешности\неуспешности закрытия? Н-р, при выборе одного селекта + завершить БП будет помечен как успешно закрытый, другого + завершить - как неуспешно закрытый.|4|0.37084502|0.37775058299303055|0.38389274
как сделать чтоб сотрудник мог видеть и вносить суммы в расходах и доходах только своей кассы и типов его отдела|4|0.23741195|0.241781298071146|0.24694127
Как создать виджет в дашбоорд?|4|0.2114026|0.23731564730405807|0.26014763
работает ли Platrum в Китае?|4|0.34304583|0.3676609694957733|0.3788113
где я могу получить информацию о том,что такое Программа обучения и как с ней работать?|4|0.2910301|0.3019573614001274|0.3138613
Где могу посмотреть удаленные статьи на платрум?|4|0.32393932|0.3284137547016144|0.33110917
как мне скопировать ссылку так, чтобы при открытии открылся сразу нужный заголовк?|4|0.27212605|0.31729281693696976|0.35164678
Подскажите, пожалусйта, как удалить демо-данные по метрикам|4|0.29875016|0.30359867215156555|0.31043065
мы можем перенести влю базу знаний на другой аккаунт?|4|0.28818357|0.3031064420938492|0.31392962
Скажите, есть возможность в P&L отчете в формулах учитывать проценты?|4|0.28014487|0.2869476228952408|0.2959252
в каком из инструментов планирования задач мне будет удобней всего отслеживать именно просроченные задачи - чтобы они подсвечивались красным например|4|0.24815136|0.2666490748524666|0.28023413
орг структуру внутри статьи нарисовать можно?|4|0.31005922|0.32368095964193344|0.33188742
как сохранить работу над ошибками?|4|0.2771647|0.3051622733473778|0.34673887
В карточку задачи скриншот по принципу ctrl+v вставить не получится?|4|0.30936408|0.313291072845459|0.31501418
почему я не вижу доступных курсов в разделе Академия?|4|0.27887788|0.2815019562840462|0.2841707
можно ли секции в оргсхеме менять местами?|4|0.33754206|0.3405635803937912|0.3478034
можно как-то, чтоб метрики не удалять, а в архив отправлять?|4|0.28441706|0.2926747128367424|0.29916608
может ли один курс быть в разных программах?|4|0.2806797|0.310592345893383|0.32708508
шаблон на 7 управленний доступен только после оплаты?|4|0.30997872|0.3110980689525604|0.3115657
Забыл пароль. Как восстановить?|4|0.2921051|0.2995361313223839|0.31066898
Как передать метрики?|4|0.22241898|0.24388961121439934|0.26118273
Как добавить сотрудника?|4|0.1734918|0.20506789535284042|0.22888395
Как выдать доступы сотруднику?|4|0.2701431|0.27360866963863373|0.276842
Ваша учетная запись отключена - почему и что делать?|4|0.32235265|0.33971942216157913|0.34635177
Как распечатать структуру?|4|0.23621756|0.2592223063111305|0.2812475
Пропали метрики после смены структуры, как вернуть?|4|0.31389648|0.3353954702615738|0.34795088
Как заполнить метрики за предыдущие периоды?|4|0.21273275|0.23258275911211967|0.25191644
Как восстановить пароль?|4|0.2678971|0.28367865830659866|0.29711396
Как восстановить удаленную статью?|4|0.29042715|0.3090192452073097|0.3215827
Как добавить на должность сотрудника?|4|0.17303379|0.19010325893759727|0.20321584
